,Group.1,Quantile,X,folioviv,foliohog,ubica_geo,ageb,tam_loc,est_socio.x,upm,factor_hog,clase_hog,sexo_jefe.x,edad_jefe,educa_jefe.x,tot_integ.x,hombres,mujeres,mayores,menores,p12_64,p65mas,ing_cor,Energy2014,percep_tot,Quantile.1,Income2014,folioviv.1,foliohog.1,ubica_geo.1,ageb.1,tam_loc.1,est_socio.x.1,upm.1,Intercept,Elasticity_Income_Electricity,Coef_socio,Coef_sexo_jefe,Coef_educa_jefe,Coef_tot_members,Coef_educ_sex_jefe,Income2014,sexo_jefe.educa_jefe,Income2015,Income2016,Income2017,Income2018,Income2019,Income2020,Income2021,Income2022,Income2023,Income2024,Income2025,Income2026,Income2027,Income2028,Income2029,Energy2014,Income2030,Energy2015,Energy2016,Energy2017,Energy2018,Energy2019,Energy2020,Energy2021,Energy2022,Energy2023,Energy2024,Energy2025,Energy2026,Energy2027,Energy2028,Energy2029,Energy2030
11,11,11,9596.6,1732905962,1,168669579.5,NA,3.7,1.3,13654,1830.3,2.2,1.15,41.9,4.1,5.45,2.75,2.7,3.35,2.1,3.3,0.05,295.728475,25.848921,24.773273,11,9596.6,1732905962,1,168669579.5,NA,3.7,1.3,13654,58.68651612,-2.57253692,0.370442441,0.3607102,0.349475453,0.106023772,0.159773386,6540.852,-0.071243811,9788.532,9984.30264,10183.98869,10387.66847,10595.42184,10807.33027,11023.47688,11243.94642,11468.82534,11698.20185,11932.16589,12170.80921,12414.22539,12662.5099,12915.7601,2.97675,13174.0753,24.51897493,23.25745556,22.0608423,20.92579567,19.84914804,18.82789471,17.85918563,16.94031734,16.0687255,15.24197771,14.4577667,13.71390393,13.00831345,12.33902611,11.70417411,11.10198571
12,12,12,7514.421053,1383857479,1,133915821.6,NA,3.736842105,1.210526316,10708.42105,1620.315789,2.157894737,1.210526316,45,3.736842105,5.052631579,2.526315789,2.526315789,3.105263158,1.947368421,2.894736842,0.210526316,288.6350674,10.69824737,20.33595421,12,7514.421053,1383857479,1,133915821.6,NA,3.736842105,1.210526316,10708.42105,61.25455193,-2.505965621,0.371934481,0.352464908,0.317582658,0.100627144,0.162158444,6305.531053,-0.067014887,7664.709474,7818.003663,7974.363736,8133.851011,8296.528031,8462.458592,8631.707764,8804.341919,8980.428757,9160.037333,9343.238079,9530.102841,9720.704898,9915.118996,10113.42138,3.084421053,10315.6898,10.16205857,9.652743178,9.168954327,8.709412641,8.272902868,7.858270664,7.464419542,7.090307967,6.734946607,6.397395714,6.076762639,5.772199474,5.482900805,5.208101587,4.947075116,4.699131113
13,13,13,7551.35,1412547296,1,137379037.7,NA,3.7,1.25,10824,1706.2,2.4,1.1,44.55,3.25,5.65,2.6,3.05,3.75,1.9,3.5,0.25,333.175843,17.854816,30.1817705,13,7551.35,1412547296,1,137379037.7,NA,3.7,1.25,10824,64.31909392,-2.576380001,0.382911393,0.337311438,0.331089184,0.102755914,0.168765335,7415.4615,-0.067018867,7702.377,7856.42454,8013.553031,8173.824091,8337.300573,8504.046585,8674.127516,8847.610067,9024.562268,9205.053513,9389.154584,9576.937675,9768.476429,9963.845957,10163.12288,1.8375,10366.38533,16.93480018,16.06219057,15.23454444,14.44954493,13.70499456,12.99880908,12.32901164,11.69372726,11.09117756,10.5196758,9.977622153,9.46349923,8.975867826,8.513362899,8.074689741,7.658620358
14,14,14,9835.9,1782777674,1,172873609.1,NA,3.85,1.2,13980.5,1442.5,2.35,1.25,46.15,3.2,5.35,2.35,3,3.6,1.75,3.5,0.1,327.282515,13.9722765,26.1355955,14,9835.9,1782777674,1,172873609.1,NA,3.85,1.2,13980.5,66.11765035,-2.470470708,0.382425405,0.329261465,0.28401034,0.090955211,0.170134484,7212.6145,-0.057606213,10032.618,10233.27036,10437.93577,10646.69448,10859.62837,11076.82094,11298.35736,11524.32451,11754.811,11989.90722,12229.70536,12474.29947,12723.78546,12978.26117,13237.82639,3.2683,13502.58292,13.2819145,12.62566289,12.00183628,11.40883258,10.84512885,10.30927739,9.79990203,9.315694612,8.855411599,8.4178709,8.00194883,7.606577226,7.230740702,6.87347404,6.533859714,6.211025534
15,15,15,10255.57895,1872596282,1.157894737,183270638.8,NA,3.736842105,1.263157895,14856.31579,1729.578947,2.263157895,1.315789474,39.36842105,3.684210526,5.842105263,2.736842105,3.105263158,3.421052632,2.421052632,3.315789474,0.105263158,366.9375574,11.08220105,29.80538474,15,10255.57895,1872596282,1.157894737,183270638.8,NA,3.736842105,1.263157895,14856.31579,67.95412747,-2.40781837,0.375422192,0.329183195,0.306381468,0.093528577,0.166114757,8096.794737,-0.061352401,10460.69053,10669.90434,10883.30242,11100.96847,11322.98784,11549.4476,11780.43655,12016.04528,12256.36619,12501.49351,12751.52338,13006.55385,13266.68493,13532.01862,13802.659,3.215947368,14078.71218,10.54852251,10.04054398,9.557027857,9.096796112,8.658727457,8.241754596,7.844861634,7.467081595,7.10749407,6.765222974,6.439434411,6.129334642,5.834168151,5.553215806,5.285793106,5.031248511
16,16,16,9711.1,1748947063,1,171131048.5,NA,3.4,1.3,13802.5,1895.65,2.35,1.2,44.4,3.3,5.7,3.05,2.65,3.35,2.35,3.2,0.15,373.6996025,17.379222,20.3813295,16,9711.1,1748947063,1,171131048.5,NA,3.4,1.3,13802.5,69.13184732,-2.405874507,0.37364071,0.327743601,0.309008411,0.093476348,0.170503556,8042.468,-0.059411,9905.322,10103.42844,10305.49701,10511.60695,10721.83909,10936.27587,11155.00139,11378.10141,11605.66344,11837.77671,12074.53225,12316.02289,12562.34335,12813.59022,13069.86202,3.943275,13331.25926,16.54297746,15.7469709,14.98926618,14.26802032,13.58147899,12.92797231,12.30591073,11.71378119,11.15014344,10.61362652,10.10292545,9.616798036,9.154061851,8.71359137,8.294315223,7.895213592
17,17,17,11141.95,1975950552,1.05,193339538.5,NA,3.65,1.35,15670.5,1219.8,2.45,1.2,46.35,3.5,5.85,2.6,3.25,4.05,1.8,3.85,0.2,394.2299655,18.8569395,15.537067,17,11141.95,1975950552,1.05,193339538.5,NA,3.65,1.35,15670.5,70.08758679,-2.412528852,0.377105661,0.325910726,0.304516894,0.096353788,0.171355679,8362.5925,-0.060645912,11364.789,11592.08478,11823.92648,12060.40501,12301.61311,12547.64537,12798.59827,13054.57024,13315.66164,13581.97488,13853.61438,14130.68666,14413.3004,14701.5664,14995.59773,2.646,15295.50969,17.94708129,17.08112426,16.25695016,15.47254293,14.72598381,14.01544659,13.3391932,12.69556944,12.08300088,11.49998912,10.94510801,10.41700023,9.914373959,9.435999694,8.980707264,8.547382956
18,18,18,10585.63158,1885864773,1,184642739.5,NA,3.526315789,1.210526316,14931.05263,1804.631579,2.263157895,1.315789474,47.42105263,3.105263158,5.894736842,2.736842105,3.157894737,4.052631579,1.842105263,3.894736842,0.157894737,398.9782705,24.71436211,25.49635053,18,10585.63158,1885864773,1,184642739.5,NA,3.526315789,1.210526316,14931.05263,71.93885702,-2.415244749,0.383416844,0.33066695,0.291921392,0.091864038,0.173187462,8662.747368,-0.059402449,10797.34421,11013.29109,11233.55692,11458.22805,11687.39262,11921.14047,12159.56328,12402.75454,12650.80963,12903.82583,13161.90234,13425.14039,13693.6432,13967.51606,14246.86638,2.146973684,14531.80371,23.52053744,22.38438035,21.30310521,20.27406095,19.29472456,18.36269492,17.47568687,16.63152565,15.82814155,15.06356483,14.33592092,13.64342576,12.98438151,12.35717233,11.76026042,11.19218227
19,19,19,8282.25,1539750785,1.15,148801054.1,NA,3.75,1.25,12011,1377.3,2.3,1.15,48.4,3.75,5.8,2.7,3.1,3.85,1.95,3.55,0.3,401.5680095,17.9393655,26.037473,19,8282.25,1539750785,1.15,148801054.1,NA,3.75,1.25,12011,73.69867062,-2.377773666,0.381623588,0.333519267,0.292669053,0.088449461,0.173638539,8726.6425,-0.058629282,8447.895,8616.8529,8789.189958,8964.973757,9144.273232,9327.158697,9513.701871,9703.975908,9898.055426,10096.01654,10297.93687,10503.8956,10713.97352,10928.25299,11146.81805,4.2287,11369.75441,17.08625048,16.27370575,15.49980197,14.76270155,14.06065429,13.39199322,12.75513065,12.14855437,11.57082412,11.0205681,10.49647977,9.997314705,9.521887672,9.069069797,8.63778589,8.227011893
20,20,20,11618.65,2032013751,1,200675030.9,NA,3.15,1.35,16326,1759,2.25,1.2,43.35,3.4,5.45,2.4,3.05,3.4,2.05,3.15,0.25,364.656775,22.4485905,47.473846,20,11618.65,2032013751,1,200675030.9,NA,3.15,1.35,16326,75.58970594,-2.450337907,0.398840014,0.323916457,0.28385397,0.088603843,0.179600527,8410.829,-0.058222321,11851.023,12088.04346,12329.80433,12576.40042,12827.92842,13084.48699,13346.17673,13613.10027,13885.36227,14163.06952,14446.33091,14735.25753,15029.96268,15330.56193,15637.17317,5.53945,15949.91663,21.34845785,20.30223914,19.30729222,18.36110442,17.46128622,16.60556519,15.79178027,15.01787631,14.28189888,13.58198932,12.91638005,12.28339014,11.68142101,11.10895243,10.56453869,10.0468049
