,Group.1,Quantile,X,folioviv,foliohog,ubica_geo,ageb,tam_loc,est_socio.x,upm,factor_hog,clase_hog,sexo_jefe.x,edad_jefe,educa_jefe.x,tot_integ.x,hombres,mujeres,mayores,menores,p12_64,p65mas,ing_cor,Energy2014,percep_tot,Quantile.1,Income2014,folioviv.1,foliohog.1,ubica_geo.1,ageb.1,tam_loc.1,est_socio.x.1,upm.1,Intercept,Elasticity_Income_Electricity,Coef_socio,Coef_sexo_jefe,Coef_educa_jefe,Coef_tot_members,Coef_educ_sex_jefe,Income2014,sexo_jefe.educa_jefe,Income2015,Income2016,Income2017,Income2018,Income2019,Income2020,Income2021,Income2022,Income2023,Income2024,Income2025,Income2026,Income2027,Income2028,Income2029,Income2030,Energy2015,Energy2016,Energy2017,Energy2018,Energy2019,Energy2020,Energy2021,Energy2022,Energy2023,Energy2024,Energy2025,Energy2026,Energy2027,Energy2028,Energy2029,Energy2030
11,11,11,9596.6,1732905962,1,168669579.5,NA,3.7,1.3,13654,1830.3,2.2,1.15,41.9,4.1,5.45,2.75,2.7,3.35,2.1,3.3,0.05,295.728475,25.848921,24.773273,11,9596.6,1732905962,1,168669579.5,NA,3.7,1.3,13654,58.68651612,-2.57253692,0.370442441,0.3607102,0.349475453,0.106023772,0.159773386,6540.852,-0.071243811,9785.936125,9982.439545,10181.15532,10385.76144,10592.79019,10805.46486,11021.20978,11242.17712,11466.86522,11696.49489,11930.44639,12169.12833,12412.74711,12660.90295,12914.43272,13172.46755,24.52092644,23.25690553,22.06145002,20.9251997,19.84953471,18.8274655,17.8593631,16.94007124,16.06879097,15.24186319,14.45775883,13.7138792,13.00823906,12.33905513,11.70408923,11.10204997
12,12,12,7514.421053,1383857479,1,133915821.6,NA,3.736842105,1.210526316,10708.42105,1620.315789,2.157894737,1.210526316,45,3.736842105,5.052631579,2.526315789,2.526315789,3.105263158,1.947368421,2.894736842,0.210526316,288.6350674,10.69824737,20.33595421,12,7514.421053,1383857479,1,133915821.6,NA,3.736842105,1.210526316,10708.42105,61.25455193,-2.505965621,0.371934481,0.352464908,0.317582658,0.100627144,0.162158444,6305.531053,-0.067014887,7661.976974,7816.042511,7971.381236,8131.843616,8293.757881,8460.495003,8629.321348,8802.479503,8978.365468,9158.240527,9341.428079,9528.333494,9719.148813,9913.427475,10112.02414,10313.99743,10.16496339,9.65192174,9.169862666,8.708520016,8.273482429,7.857626145,7.464686277,7.089937493,6.735045264,6.397222873,6.07675075,5.772162059,5.482788086,5.20814561,4.946946146,4.699228875
13,13,13,7551.35,1412547296,1,137379037.7,NA,3.7,1.25,10824,1706.2,2.4,1.1,44.55,3.25,5.65,2.6,3.05,3.75,1.9,3.5,0.25,333.175843,17.854816,30.1817705,13,7551.35,1412547296,1,137379037.7,NA,3.7,1.25,10824,64.31909392,-2.576380001,0.382911393,0.337311438,0.331089184,0.102755914,0.168765335,7415.4615,-0.067018867,7702.377,7856.42454,8013.553031,8173.824091,8337.300573,8504.046585,8674.127516,8847.610067,9024.562268,9205.053513,9389.154584,9576.937675,9768.476429,9963.845957,10163.12288,10366.38533,16.93480018,16.06219057,15.23454444,14.44954493,13.70499456,12.99880908,12.32901164,11.69372726,11.09117756,10.5196758,9.977622153,9.46349923,8.975867826,8.513362899,8.074689741,7.658620358
14,14,14,9835.9,1782777674,1,172873609.1,NA,3.85,1.2,13980.5,1442.5,2.35,1.25,46.15,3.2,5.35,2.35,3,3.6,1.75,3.5,0.1,327.282515,13.9722765,26.1355955,14,9835.9,1782777674,1,172873609.1,NA,3.85,1.2,13980.5,66.11765035,-2.470470708,0.382425405,0.329261465,0.28401034,0.090955211,0.170134484,7212.6145,-0.057606213,10027.42625,10229.54417,10432.26902,10642.88043,10854.36509,11073.09012,11293.82317,11520.78592,11750.89075,11986.49329,12226.26636,12470.93771,12720.8289,12975.04728,13235.17164,13499.36742,13.29606848,12.62165706,12.0062691,11.40447308,10.84796141,10.30612493,9.801207623,9.313879876,8.855895217,8.417022997,8.001890463,7.606393407,7.230186499,6.873690649,6.533224665,6.211507269
15,15,15,10255.57895,1872596282,1.157894737,183270638.8,NA,3.736842105,1.263157895,14856.31579,1729.578947,2.263157895,1.315789474,39.36842105,3.684210526,5.842105263,2.736842105,3.105263158,3.421052632,2.421052632,3.315789474,0.105263158,366.9375574,11.08220105,29.80538474,15,10255.57895,1872596282,1.157894737,183270638.8,NA,3.736842105,1.263157895,14856.31579,67.95412747,-2.40781837,0.375422192,0.329183195,0.306381468,0.093528577,0.166114757,8096.794737,-0.061352401,10455.22553,10665.98203,10877.33742,11096.95368,11317.44754,11545.52042,11775.66372,12012.32045,12252.23961,12497.8999,12747.90338,13003.01515,13263.57276,13528.63558,13799.86452,14075.32744,10.55425549,10.03891683,9.558830003,9.095020497,8.659882043,8.240467442,7.84539518,7.466338863,7.10769221,6.7648751,6.439410437,6.129259038,5.833939918,5.553305119,5.285530904,5.031447646
16,16,16,9711.1,1748947063,1,171131048.5,NA,3.4,1.3,13802.5,1895.65,2.35,1.2,44.4,3.3,5.7,3.05,2.65,3.35,2.35,3.2,0.15,373.6996025,17.379222,20.3813295,16,9711.1,1748947063,1,171131048.5,NA,3.4,1.3,13802.5,69.13184732,-2.405874507,0.37364071,0.327743601,0.309008411,0.093476348,0.170503556,8042.468,-0.059411,9900.13025,10099.70225,10299.83026,10507.7929,10716.5758,10932.54505,11150.4672,11374.56282,11601.74319,11834.36278,12071.09325,12312.66113,12559.38679,12810.37633,13067.20727,13328.04376,16.57666528,15.73741935,14.99984877,14.25759696,13.58825961,12.92041483,12.30904451,11.70941915,11.15130738,10.61158302,10.1027846,9.616353835,9.152720806,8.714116211,8.292774397,7.896383971
17,17,17,11141.95,1975950552,1.05,193339538.5,NA,3.65,1.35,15670.5,1219.8,2.45,1.2,46.35,3.5,5.85,2.6,3.25,4.05,1.8,3.85,0.2,394.2299655,18.8569395,15.537067,17,11141.95,1975950552,1.05,193339538.5,NA,3.65,1.35,15670.5,70.08758679,-2.412528852,0.377105661,0.325910726,0.304516894,0.096353788,0.171355679,8362.5925,-0.060645912,11359.59725,11588.35859,11818.25973,12056.59096,12296.34982,12543.91455,12794.06408,13051.03165,13311.74139,13578.56095,13850.17538,14127.3249,14410.34384,14698.35251,14992.94298,15292.29419,17.94708129,17.08112426,16.25695016,15.47254293,14.72598381,14.01544659,13.3391932,12.69556944,12.08300088,11.49998912,10.94510801,10.41700023,9.914373959,9.435999694,8.980707264,8.547382956
18,18,18,10585.63158,1885864773,1,184642739.5,NA,3.526315789,1.210526316,14931.05263,1804.631579,2.263157895,1.315789474,47.42105263,3.105263158,5.894736842,2.736842105,3.157894737,4.052631579,1.842105263,3.894736842,0.157894737,398.9782705,24.71436211,25.49635053,18,10585.63158,1885864773,1,184642739.5,NA,3.526315789,1.210526316,14931.05263,71.93885702,-2.415244749,0.383416844,0.33066695,0.291921392,0.091864038,0.173187462,8662.747368,-0.059402449,10789.14671,11007.40764,11224.60942,11452.20587,11679.08217,11915.2497,12152.40403,12397.1673,12644.61977,12898.43541,13156.47234,13419.83235,13688.97495,13962.4415,14242.67467,14526.72661,23.52053744,22.38438035,21.30310521,20.27406095,19.29472456,18.36269492,17.47568687,16.63152565,15.82814155,15.06356483,14.33592092,13.64342576,12.98438151,12.35717233,11.76026042,11.19218227
19,19,19,8282.25,1539750785,1.15,148801054.1,NA,3.75,1.25,12011,1377.3,2.3,1.15,48.4,3.75,5.8,2.7,3.1,3.85,1.95,3.55,0.3,401.5680095,17.9393655,26.037473,19,8282.25,1539750785,1.15,148801054.1,NA,3.75,1.25,12011,73.69867062,-2.377773666,0.381623588,0.333519267,0.292669053,0.088449461,0.173638539,8726.6425,-0.058629282,8445.299125,8614.989805,8786.356583,8963.066732,9141.64159,9325.293287,9511.434776,9702.206613,9896.095301,10094.30957,10296.21737,10502.21472,10712.49524,10926.64604,11145.49067,11368.14666,17.10352225,16.26879529,15.50524225,14.75733599,14.06414409,13.38809926,12.75674528,12.14630497,11.57142446,11.01951336,10.49640704,9.997085213,9.521194461,9.069341215,8.636988539,8.227617783
20,20,20,11618.65,2032013751,1,200675030.9,NA,3.15,1.35,16326,1759,2.25,1.2,43.35,3.4,5.45,2.4,3.05,3.4,2.05,3.15,0.25,364.656775,22.4485905,47.473846,20,11618.65,2032013751,1,200675030.9,NA,3.15,1.35,16326,75.58970594,-2.450337907,0.398840014,0.323916457,0.28385397,0.088603843,0.179600527,8410.829,-0.058222321,11843.23538,12082.45418,12321.3042,12570.67934,12820.0335,13078.89076,13339.37545,13607.79238,13879.4819,14157.94862,14441.17241,14730.21489,15025.52784,15325.7411,15633.19104,15945.09338,21.36836259,20.29660359,19.31353118,18.35496613,17.46527628,16.60112266,15.79362095,15.01531676,14.28258128,13.58079239,12.91629762,12.28313043,11.68063768,11.10925873,10.56364033,10.04748667
